Event ID,Magnitude,Datetime UTC,Latitude,Longitude,Region,Depth(KM,Auth
20181114_0000080,mb 5.0,2018-11-14T17:23:32.7Z,-9.14,115.44,"SOUTH OF BALI, INDONESIA",80,EMSC
20181114_0000084,ml 2.6,2018-11-14T17:13:33.3Z,37.45,20.78,IONIAN SEA,1,THE
20181114_0000079,mb 4.5,2018-11-14T17:10:47.8Z,34.1,83.95,WESTERN XIZANG,10,EMSC
20181114_0000082,ml 2.3,2018-11-14T17:05:45.2Z,37.6,20.79,IONIAN SEA,6,THE
20181114_0000081,ml 3.1,2018-11-14T16:34:36.6Z,37.66,20.5,IONIAN SEA,6,THE
20181114_0000108,mb 4.4,2018-11-14T16:09:52.2Z,-20.88,-178.78,FIJI REGION,606,EMSC
20181114_0000057,ml 2.1,2018-11-14T15:58:26.3Z,47.34,-122.38,"SEATTLE-TACOMA AREA, WASHINGTON",22,NEIR
20181114_0000056,ml 2.6,2018-11-14T15:56:32.5Z,35.99,-117.69,CENTRAL CALIFORNIA,2,NEIR
20181114_0000059,ml 3.7,2018-11-14T15:56:01.8Z,28.56,58.32,SOUTHEASTERN IRAN,12,TEH
20181114_0000055,ml 3.0,2018-11-14T15:15:03.6Z,38.38,15.75,"SICILY, ITALY",11,ROM
20181114_0000062,m 3.1,2018-11-14T15:02:12.0Z,16.27,-98.15,"OAXACA, MEXICO",20,UNM
20181114_0000053,ml 3.4,2018-11-14T15:01:02.3Z,38.38,15.74,"SICILY, ITALY",11,ROM
20181114_0000068,m 3.2,2018-11-14T14:57:58.0Z,16.23,-98.04,"OAXACA, MEXICO",10,UNM
20181114_0000069,m 3.6,2018-11-14T14:34:43.0Z,16.4,-95.08,"OAXACA, MEXICO",12,UNM
20181114_0000078,ml 2.7,2018-11-14T14:32:58.9Z,37.49,20.5,IONIAN SEA,2,THE
20181114_0000050,ml 3.6,2018-11-14T14:31:34.0Z,-23.87,-67,"JUJUY, ARGENTINA",184,GUC
20181114_0000077,ml 3.2,2018-11-14T14:28:40.3Z,37.37,20.59,IONIAN SEA,3,THE
20181114_0000049,ml 2.2,2018-11-14T14:20:30.5Z,38.48,44.22,TURKEY-IRAN BORDER REGION,3,DDA
20181114_0000072,m 3.7,2018-11-14T14:07:25.0Z,16.39,-95.69,"OAXACA, MEXICO",90,UNM
20181114_0000061,mb 4.6,2018-11-14T14:05:19.9Z,31.25,130.5,"KYUSHU, JAPAN",176,EMSC
20181114_0000070,m 3.9,2018-11-14T14:01:40.0Z,17.33,-94.68,"VERACRUZ, MEXICO",154,UNM
20181114_0000076,ml 2.9,2018-11-14T13:10:35.1Z,37.37,20.76,IONIAN SEA,1,THE
20181114_0000071,m 3.9,2018-11-14T13:10:19.0Z,14.63,-94.24,"OFF COAST OF CHIAPAS, MEXICO",14,UNM
20181114_0000060,ml 2.8,2018-11-14T13:08:38.1Z,37.63,20.41,IONIAN SEA,10,THE
20181114_0000073,m 4.0,2018-11-14T13:05:54.0Z,16.87,-96.29,"OAXACA, MEXICO",76,UNM
20181114_0000052,m 3.1,2018-11-14T13:04:30.0Z,8.75,-82.77,PANAMA-COSTA RICA BORDER REGION,24,UCR
20181114_0000046,ml 2.5,2018-11-14T12:53:27.6Z,36.41,28.71,DODECANESE IS.-TURKEY BORDER REG,8,EMSC
20181114_0000054,ml 2.9,2018-11-14T12:49:04.2Z,37.44,20.43,IONIAN SEA,2,THE
20181114_0000044,ml 3.1,2018-11-14T12:44:18.3Z,69.62,-145.12,NORTHERN ALASKA,2,NEIC
20181114_0000074,m 4.2,2018-11-14T12:40:42.0Z,15.66,-94.67,"OFFSHORE OAXACA, MEXICO",22,UNM
20181114_0000041,ml 3.2,2018-11-14T12:23:14.1Z,36.49,28.7,DODECANESE IS.-TURKEY BORDER REG,2,EMSC
20181114_0000043,mb 4.2,2018-11-14T12:15:49.5Z,37.45,20.36,IONIAN SEA,2,EMSC
20181114_0000042,ml 2.2,2018-11-14T12:14:25.9Z,36.75,35.95,CENTRAL TURKEY,7,DDA
20181114_0000051,ml 2.6,2018-11-14T12:08:13.8Z,37.67,20.68,IONIAN SEA,2,THE
20181114_0000075,m 3.6,2018-11-14T12:07:32.0Z,16.24,-95.72,"OAXACA, MEXICO",51,UNM
20181114_0000048,ml 3.1,2018-11-14T12:05:20.1Z,37.39,20.56,IONIAN SEA,1,THE
20181114_0000063,m 3.8,2018-11-14T11:41:56.0Z,15.36,-94.27,"OFFSHORE CHIAPAS, MEXICO",45,UNM
20181114_0000040,mb 4.0,2018-11-14T11:39:51.4Z,33.85,137.13,"NEAR S. COAST OF HONSHU, JAPAN",351,NEIC
20181114_0000039,ml 3.0,2018-11-14T11:18:03.0Z,-27.6,-69.18,"ATACAMA, CHILE",111,GUC
